OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Length
1,LINNTON, ,N,NWNW,HORZ,Linnton,1,52741.7197721722
2,FOREST PARK/LINNTON, ,Y,NWNW,,Forest Park/Linnton,2,57723.6353502882
3,FOREST PARK, ,N,NWNW,HORZ,Forest Park,3,82222.0989244565
4,CATHEDRAL PARK, ,N,NPNS,HORZ,Cathedral Park,4,11434.2547770159
5,UNIVERSITY PARK, ,N,NPNS,HORZ,University Park,5,11950.8598267972
6,MC UNCLAIMED #14, ,N,UNCLAIMED,NA,MC Unclaimed #14,6,23667.613907502
7,PIEDMONT,ALBINA,N,NPNS,VERT,Piedmont,7,10849.3273923702
8,WOODLAWN,ALBINA,N,NECN,HORZ,Woodlawn,8,8078.36099439546
9,CULLY ASSOCIATION OF NEIGHBORS, ,N,CNN,HORZ,Cully Association of Neighbors,9,18179.392090202
10,ARBOR LODGE,ALBINA,N,NPNS,HORZ,Arbor Lodge,10,9466.41150440441
11,OVERLOOK,ALBINA,N,NPNS,HORZ,Overlook,11,18919.7142321563
12,CONCORDIA,ALBINA,N,NECN,HORZ,Concordia,12,11314.6669032604
13,PARKROSE, ,N,EPCO,HORZ,Parkrose,13,15199.5423073747
14,SUMNER ASSOCIATION OF NEIGHBORS, ,N,CNN,HORZ,Sumner Association of Neighbors,14,9778.75663949973
15,ARGAY TERRACE, ,N,EPCO,VERT,Argay Terrace,15,13252.0620987773
16,HUMBOLDT,ALBINA,N,NECN,VERT,Humboldt,16,6880.05673473788
17,KING,ALBINA,N,NECN,VERT,King,17,8903.47302069419
18,VERNON,ALBINA,N,NECN,VERT,Vernon,18,5469.12636052399
19,WILKES COMMUNITY GROUP, ,N,EPCO,HORZ,Wilkes Community Group,19,23475.2205210955
20,BEAUMONT-WILSHIRE, ,N,CNN,VERT,Beaumont-Wilshire,20,8571.72079459935
21,SABIN COMMUNITY ASSOCIATION,ALBINA,N,NECN,HORZ,Sabin Community Association,21,6059.07645902787
22,ALAMEDA, ,N,NECN,HORZ,Alameda,22,8520.79211950726
23,BOISE,ALBINA,N,NECN,HORZ,Boise,23,6659.73977356198
24,NORTHWEST HEIGHTS, ,N,NWNW,HORZ,Northwest Heights,24,18858.8459165451
