name,lat,lng,Zipcode,Walk Score,Median Income 2012,Population 2012,Black Population 2012,BIPOC Population 2012,% BIPOC 2012,Median Income 2018,Population 2018,Black Population 2018,BIPOC Population 2018,% BIPOC 2018
Cathedral Park,45.57641768898887,-122.74774080646131,97210,79,35374.0,10836.0,213.0,1655.0,15.273163528977483,52450.0,12059.0,302.0,1483.0,12.297868811675928
University Park,45.5749559647032,-122.70795881169612,97217,53,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Piedmont,45.58658733876777,-122.67544970503198,97217,72,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Woodlawn,45.56632637569365,-122.64351587588249,97211,74,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
Cully,45.54829038307215,-122.6147122245439,97213,57,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Arbor Lodge,45.577213117595974,-122.67859072730494,97217,77,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Overlook,45.55463890366046,-122.6786671784272,97217,73,29341.0,31170.0,3655.0,8448.0,27.10298363811357,37730.0,34813.0,3664.0,7692.0,22.09519432395944
Concordia,45.55543015581583,-122.64195025427607,97211,76,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
Parkrose,45.55540271555631,-122.5675206666005,97220,54,23083.0,29397.0,2691.0,8597.0,29.24448072932612,26237.0,30695.0,2672.0,9693.0,31.578432969539012
Parkrose,45.54667022478301,-122.53745729246761,97230,54,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Sumner,45.55540271555631,-122.5675206666005,97220,60,23083.0,29397.0,2691.0,8597.0,29.24448072932612,26237.0,30695.0,2672.0,9693.0,31.578432969539012
Humboldt,45.566434055685,-122.66475344967259,97211,89,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
King,45.54827281993202,-122.6586036766623,97212,89,40395.0,24565.0,1622.0,3384.0,13.775697130063097,46821.0,26699.0,1512.0,4090.0,15.318925802464511
Vernon,45.55768675805183,-122.64290831022151,97211,88,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
Northwest Heights,45.52973148563183,-122.76448757189037,97229,12,48168.0,57851.0,732.0,15428.0,26.66851048382915,52012.0,67339.0,1092.0,22493.0,33.40263443175574
Rose City Park,45.541101442888156,-122.59628165155635,97213,76,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Russell,45.533765162369676,-122.51691552225553,97230,36,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Montavilla,45.505384238116164,-122.58526932037098,97206,75,26285.0,47544.0,941.0,9036.0,19.00555275113579,31065.0,51698.0,983.0,10975.0,21.22906108553522
Laurelhurst,45.53164300529418,-122.61730479658982,97213,81,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Kerns,45.52304035405397,-122.66755048276877,97209,93,29754.0,14095.0,794.0,2636.0,18.701667257892872,43873.0,17585.0,788.0,2947.0,16.758601080466306
North Tabor,45.53164300529418,-122.61730479658982,97213,76,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Old Town Chinatown,45.52304035405397,-122.66755048276877,97209,97,29754.0,14095.0,794.0,2636.0,18.701667257892872,43873.0,17585.0,788.0,2947.0,16.758601080466306
Glenfair,45.52642622359427,-122.496955590853,97230,61,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
Buckman,45.51931740908355,-122.63709299885616,97214,91,27879.0,24399.0,396.0,2165.0,8.873314480101643,37312.0,26207.0,601.0,3788.0,14.454153470446826
Mt. Tabor,45.523227715702696,-122.59254224350627,97213,69,31161.0,29940.0,1315.0,4864.0,16.245824983299933,36950.0,32845.0,1033.0,5456.0,16.6113563708327
Sunnyside,45.51207701491092,-122.63714442111794,97214,91,27879.0,24399.0,396.0,2165.0,8.873314480101643,37312.0,26207.0,601.0,3788.0,14.454153470446826
South Portland,45.468368856275596,-122.67279422845823,97219,68,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
Homestead,45.50597030101124,-122.68549575889037,97201,46,23194.0,14744.0,143.0,2270.0,15.396093326098754,25805.0,18145.0,589.0,4272.0,23.543675943786166
Brooklyn,45.49029803003955,-122.62286338292174,97202,82,28996.0,38951.0,838.0,4844.0,12.43613771148366,36132.0,42822.0,631.0,6447.0,15.055345383214236
Hillsdale,45.47170748044723,-122.68047931930714,97219,57,38473.0,39061.0,551.0,4328.0,11.080105476050282,43467.0,42813.0,1465.0,5950.0,13.897647910681336
